batch,sub_batch,file,file_sample_size,file_size,cell_id,Phenograph_Leiden,UMAP1,UMAP2,Phenograph_Leiden_sub,TCF1,CD27,CCR7,CD127,CD45RA,CD122,CD95,CD45RO,CD57,GZMB,HLADR,LAG3,CD39,PD1,TIGIT,TIM3,CD25,CD69,CD70,EGFRt,type,PTID,gate
PEAK,PEAK_1,MED_X822_CD8 EGFRt,2288,2288,19701,2,-0.8947821447707043,-4.017147173463179,3,2.4777986061842863,0.3878766432033442,1.219993987116855,-0.3331506256459024,0.4720178318159084,-0.05489786642478628,2.407573107881598,1.934409716569478,0.5631293436682285,0.2889731668485918,0.0342449949502622,2.6135285293198502,1.1028049763674357,-1.1772254848640404,0.620739812504902,0.12978599697135643,1.3741293023187824,-0.4125770441427148,0.4225330867326857,1.5521809278333936,MED,X822,CD8 EGFRt
PEAK,PEAK_1,MED_X822_CD8 EGFRt,2288,2288,1672,2,-1.2354063579893932,-4.130235304414107,3,1.5857465692435049,0.783365742693842,-0.6790013775362401,0.5825470614837978,0.3106673107142935,0.31929605203781963,0.9718548440739312,1.830219729725008,0.07528999866336546,0.4411851849487374,0.30327740908303497,1.995325340597742,1.7544304429931483,1.458165787736884,-0.45225827437172783,0.8373793551405759,-0.14149787697065136,0.14440464873021472,0.8708524684181995,2.255603594297219,MED,X822,CD8 EGFRt
PEAK,PEAK_1,MED_X822_CD8 EGFRt,2288,2288,941,2,-0.8023110220290051,-4.087943186341597,3,1.6566808669339048,-0.16374342611545428,1.3647808594116104,-0.7140036306359682,0.37667427383656366,0.19476432639504676,1.22397526026374,1.402155136057209,0.16887161331978573,0.0417092419901054,0.15649480022098378,1.121560146095061,1.1802254971020836,-0.5304514533352447,0.18413779469466857,0.3766079579996951,1.638136325040384,0.29005569551294264,0.21843542946411132,1.4669453913999746,MED,X822,CD8 EGFRt
PEAK,PEAK_1,MED_X822_CD8 EGFRt,2288,2288,12521,4,-6.280733663783155,-0.8456046481717361,5,3.442396543898808,1.7922526765797162,0.13775837488908071,0.04530762124023801,0.6534145847293771,0.7948117026037885,1.3076982939901354,1.9046818792120632,2.8152113681018047,0.969155535292439,0.7818173553574177,1.5368353138487845,0.2845300324233093,1.0818626656979469,0.32703450461054323,0.13869605781262867,-0.2870942018371548,1.260716452414207,0.1917488986375536,1.3654148904489605,MED,X822,CD8 EGFRt
PEAK,PEAK_1,MED_X822_CD8 EGFRt,2288,2288,683,4,-5.6911769697523935,-1.2649894853223098,6,2.730712551749727,1.585885528275943,0.5070229153748873,-0.12747846939330698,1.1949327572436026,0.56110713235648,2.294234082287943,2.4404407851256384,2.065778988398962,0.8197704598242144,0.5382418623881579,1.80964017995104,0.1257091880358343,0.4108546985455173,0.2906414572513895,0.2736275563599701,-0.2942922742109419,0.951067036462942,0.25829067827232866,3.2709157977768504,MED,X822,CD8 EGFRt
PEAK,PEAK_1,MED_X822_CD8 EGFRt,2288,2288,2228,4,-6.744472582087599,2.061233172835039,2,2.0239132391087993,1.4194225278945174,0.7214370483757088,0.16789029660153737,1.4022603208468578,0.38214482236870223,2.177239907766752,2.7553681136733914,3.8827393429649257,1.2821969007800686,1.4904762861801473,2.3713515692191756,-0.5406259039693707,-0.9967063711146475,0.9513760753247316,0.7704699552927989,-0.649418570489907,1.50282969059568,-0.19205330446106653,3.15152058652138,MED,X822,CD8 EGFRt
PEAK,PEAK_1,MED_X822_CD8 EGFRt,2288,2288,1619,4,-6.621642667994581,2.036199937285112,6,2.5061898078557014,1.5096518041970093,-0.09766441449845314,-0.4337848862095735,0.6907930787887083,0.2611638338018646,1.3754592306874118,1.6396001074008064,3.518168978152154,0.692929458007399,1.290766271907667,1.2700018574116805,0.3606440408020392,0.2748869915254084,0.38561605964034423,1.5354052430130516,0.4686548341539818,0.585032284001213,-0.16170694147337653,2.123564608959111,MED,X822,CD8 EGFRt
PEAK,PEAK_1,MED_X822_CD8 EGFRt,2288,2288,15081,4,-6.635596353755079,-0.06346579390652307,5,3.611023290311587,2.152737013404088,1.519625044113423,0.4731716184589969,0.6887004918076456,0.7907718061346218,2.082966282841182,2.3775375340941687,4.403172873692968,1.873804283176485,0.8548529057437417,0.6839364590080843,-0.38573906082498616,1.5247200887828083,0.36544369321651865,1.5737914215623652,0.02294062426795976,-0.03703687347920362,0.22749768471222745,2.4377043827049025,MED,X822,CD8 EGFRt
PEAK,PEAK_1,MED_X822_CD8 EGFRt,2288,2288,843,4,-6.101128179774366,0.4603145371090638,7,2.190217319845339,1.164706614752201,1.563732307036416,-0.7911390504079165,1.3609736403128274,0.661705469503267,1.580950737879964,2.66114255085399,2.567264415505324,2.4675728253566778,1.1769255297876875,1.1508662099225029,-0.5023800938789194,1.1123940912786343,-0.00976156276877968,-0.13809015977126035,0.2493339792882678,0.2856791781843862,0.4843536737754847,2.46701033883101,MED,X822,CD8 EGFRt
PEAK,PEAK_1,MED_X822_CD8 EGFRt,2288,2288,1470,4,-6.573211748347364,-0.07918958860523828,2,2.9786053106379304,2.0989282734185513,-0.3231128094983531,0.147429007419295,0.8075819056987359,0.984050269504803,1.2820504398878985,2.0072584762060495,4.407773695949959,1.7435604712745607,0.3832242758747894,1.464266008185851,0.6776229632151456,1.5186931231473897,-0.19241827462216368,0.400611673283266,-1.05359973861852,1.1418226940989893,-0.385969665958268,2.16399130076081,MED,X822,CD8 EGFRt
