batch,sub_batch,file,file_sample_size,file_size,cell_id,Phenograph_Leiden,UMAP1,UMAP2,Phenograph_Leiden_sub,TCF1,CD27,CCR7,CD127,CD45RA,CD122,CD95,CD45RO,CD57,GZMB,HLADR,LAG3,CD39,PD1,TIGIT,TIM3,CD25,CD69,CD70,EGFRt,type,PTID,gate
PRE,PRE_1,CLL_X645_CD8,3729,3729,24741,1,-6.250032255277448,-2.7640135675411845,3,3.010731129979652,2.716604085783294,1.7748776232456829,0.18131715001646867,2.121817161366868,-0.0752637770125703,0.9285959316299698,0.5400888284973773,0.21091133149353375,0.2350066969554922,0.01277160383252438,0.3367168294299875,0.6756604351196878,1.2298376601289516,-1.1251713802013907,-0.2936565513972172,-0.22830754011043253,-0.3784182471215437,0.21090505279341776,0.6896903799434685,CLL,X645,CD8
PRE,PRE_1,CLL_X645_CD8,3729,3729,13501,1,-5.746657201871686,-2.3759234338741924,3,3.058810690082568,2.4032275195682233,1.3559306676236085,0.5547515385895854,2.0882543304535663,-0.04316971460484401,1.5745271612229434,0.5509133952251446,0.2753115298532021,0.21353598317105504,-0.00909902605596354,-0.7741915359766223,0.8598121007443422,1.4410772138020382,-0.8569406269914712,-0.4734840319729853,-0.1076431371411022,-0.2107611976691093,0.37694228303414784,0.379758044262358,CLL,X645,CD8
PRE,PRE_1,CLL_X645_CD8,3729,3729,55910,1,-6.6252096387003,-0.8603870063763287,4,2.760261147589206,2.5751498466934715,1.6391099378445897,0.4237527267203885,1.5998591085166407,-0.3035835795753109,1.27041308284371,0.540906941576125,0.25323465574936554,0.1656554381604092,0.01635184722742161,0.47186464734110584,0.285540025468479,0.14265070950204592,-0.1961506182394664,-0.20310794725140696,0.068798946206474,-0.31099262463747473,0.04526439546093453,-0.0987953141323886,CLL,X645,CD8
PRE,PRE_1,CLL_X645_CD8,3729,3729,18381,1,-6.407196828946882,-1.04795167741591,4,3.338099159149234,2.461056035090789,1.5254753575299738,0.52688238599703,1.9402976855556548,-0.1094139707214818,1.5226963651769028,0.6149513484259099,0.22086600542297316,-0.01807850205795375,0.04552848943601529,0.2962825677983252,1.254947519510876,0.19345042678845792,-0.6833621672199622,-0.8269719097596155,-0.02124870042718423,-0.43017103187764755,0.03447808156471865,-0.2475975862054134,CLL,X645,CD8
PRE,PRE_1,CLL_X645_CD8,3729,3729,70410,1,-7.401589223966413,-1.1134847789745952,1,2.661423434038414,2.348071585153569,1.535399853748627,0.3386515281395907,2.3568732383629034,-0.20711815478158327,0.13947032574079113,0.5355518571751314,0.5684929128787417,0.32351996230453983,0.03267533249499312,0.6460634554367698,0.9138774422135636,-0.0840225006187692,-0.33664974483944443,-1.0843865054635344,-0.3662069301588417,0.04133434395951142,-0.0087038638729321,-0.21130675865386372,CLL,X645,CD8
PRE,PRE_1,CLL_X645_CD8,3729,3729,111100,1,-7.311347791776472,-1.7124815374355935,8,2.9600245020230833,2.232588626178817,1.4336069721025384,0.45478486163474974,2.412351866448814,-0.3548917153216095,0.5251329060042628,0.43124991410930497,0.2084180955226602,0.09870478047048206,-0.02345545523601547,0.8890492008853805,0.7374661264094384,0.33979904776924025,-0.3868457075682709,-1.0462453052088383,-0.17614916753531204,0.1185282717538877,0.1838619746401303,-0.08391205797143932,CLL,X645,CD8
PRE,PRE_1,CLL_X645_CD8,3729,3729,23051,1,-7.750189611539655,-2.237643280599656,7,2.4567199648894804,2.4105131892582397,1.3837679955972566,0.7717380375618166,1.9171636985396123,-0.29338073731374203,0.5843965355805012,0.5397865581278447,0.2048005167616856,0.8333165857855654,-0.03197780068204823,1.7295242187546975,1.167318272577623,0.8644502166139388,-0.00233989072904185,-0.895965847804687,0.0342314238547317,-0.01426245495542235,-0.04211110687038651,0.4009943414709386,CLL,X645,CD8
PRE,PRE_1,CLL_X645_CD8,3729,3729,37210,1,-7.582453558072858,-0.4115722417574551,2,3.012064127111304,2.465287552811094,2.050534888217234,0.7577685978493748,2.3042834773681022,-0.4221746358931688,0.4142739712570692,0.6184334434596939,0.2714175507549002,0.08892000680655233,0.00442752758519442,0.8497914118073278,0.34897544004219677,-0.18477268729528337,0.5150954156352099,-1.0275032738249903,-0.1821497301621578,-0.2878634643287394,0.09460966489620012,0.15856629806896802,CLL,X645,CD8
PRE,PRE_1,CLL_X645_CD8,3729,3729,103110,1,-7.120686361417585,-2.40850619373137,5,3.050236922023943,2.5381221507268727,1.825409310643988,0.41744076739959857,2.008349245137832,-0.067068451623282,0.4627709075025651,0.6179345877956878,0.3436986698202902,0.3840130929515988,0.06415473342887086,0.6968113086684983,0.33853214755930083,0.7436344770987182,-1.064788216197588,-0.7195417423472136,-0.4334086276301808,0.2128396627767212,0.29737863993076497,0.5018635250914955,CLL,X645,CD8
PRE,PRE_1,CLL_X645_CD8,3729,3729,21231,1,-7.068389246091657,-2.753080406759324,5,3.234858303209448,2.681098353024222,1.2303738068855927,0.5545185633472945,1.8733429686123075,-0.13635585808536874,0.4893381998935758,0.6214685869072478,0.2722265103253466,-0.02497834428631481,0.12438798348168656,0.8932589405714016,1.2876891134393305,1.3048131169266943,-0.9196948170260058,-0.969351068560869,-0.764063697389175,0.48073491743853114,0.02500337042176484,-0.4440034777764265,CLL,X645,CD8
